id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.placeholder,attachments.0.placeholder_version,attachments.0.proxy_url,attachments.0.size,attachments.0.title,attachments.0.url,attachments.0.width,author.accent_color,author.avatar,author.avatar_decoration_data,author.banner,author.banner_color,author.clan,author.collectibles,author.discriminator,author.display_name_styles,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,flags,interaction,mention_channels,mention_everyone,mentions,mentions.0.accent_color,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.banner,mentions.0.banner_color,mentions.0.clan,mentions.0.collectibles,mentions.0.discriminator,mentions.0.display_name_styles,mentions.0.flags,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.public_flags,mentions.0.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,reactions.0.burst_colors,reactions.0.burst_count,reactions.0.burst_me,reactions.0.count,reactions.0.count_details.burst,reactions.0.count_details.normal,reactions.0.emoji.id,reactions.0.emoji.name,reactions.0.me,reactions.0.me_burst,referenced_message,referenced_message.attachments,referenced_message.attachments.0.content_scan_version,referenced_message.attachments.0.content_type,referenced_message.attachments.0.filename,referenced_message.attachments.0.height,referenced_message.attachments.0.id,referenced_message.attachments.0.placeholder,referenced_message.attachments.0.placeholder_version,referenced_message.attachments.0.proxy_url,referenced_message.attachments.0.size,referenced_message.attachments.0.title,referenced_message.attachments.0.url,referenced_message.attachments.0.width,referenced_message.author.accent_color,referenced_message.author.avatar,referenced_message.author.avatar_decoration_data,referenced_message.author.banner,referenced_message.author.banner_color,referenced_message.author.clan,referenced_message.author.collectibles,referenced_message.author.discriminator,referenced_message.author.display_name_styles,referenced_message.author.flags,referenced_message.author.global_name,referenced_message.author.id,referenced_message.author.primary_guild,referenced_message.author.public_flags,referenced_message.author.username,referenced_message.channel_id,referenced_message.components,referenced_message.content,referenced_message.edited_timestamp,referenced_message.embeds,referenced_message.flags,referenced_message.id,referenced_message.mention_everyone,referenced_message.mention_roles,referenced_message.mentions,referenced_message.mentions.0.accent_color,referenced_message.mentions.0.avatar,referenced_message.mentions.0.avatar_decoration_data,referenced_message.mentions.0.banner,referenced_message.mentions.0.banner_color,referenced_message.mentions.0.clan,referenced_message.mentions.0.collectibles,referenced_message.mentions.0.discriminator,referenced_message.mentions.0.display_name_styles,referenced_message.mentions.0.flags,referenced_message.mentions.0.global_name,referenced_message.mentions.0.id,referenced_message.mentions.0.primary_guild,referenced_message.mentions.0.public_flags,referenced_message.mentions.0.username,referenced_message.message_reference.channel_id,referenced_message.message_reference.guild_id,referenced_message.message_reference.message_id,referenced_message.message_reference.type,referenced_message.pinned,referenced_message.position,referenced_message.timestamp,referenced_message.tts,referenced_message.type,resolved,role_subscription_data,sticker_items,stickers,thread,thread.bitrate,thread.flags,thread.guild_id,thread.id,thread.last_message_id,thread.member_count,thread.member_ids_preview.0,thread.member_ids_preview.1,thread.message_count,thread.name,thread.owner_id,thread.parent_id,thread.rate_limit_per_user,thread.rtc_region,thread.thread_metadata.archive_timestamp,thread.thread_metadata.archived,thread.thread_metadata.auto_archive_duration,thread.thread_metadata.create_timestamp,thread.thread_metadata.locked,thread.total_message_sent,thread.type,thread.user_limit,timestamp,tts,type,userName,webhook_id
1264808758736064533,,,,,,,,,,,,,,,,,,9b8e431dc02b5a12aabccd0082df834d,,,,,,0,,0,Jack Twilley,870023853479444533,,0,jacktwilley,,1264794347337945158,,Next step is to add my terrain tomorrow!,2024-07-22T04:58:27.093Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,22,,,0,false,1,0,1,,👌,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:58:27.093000+00:00,false,0,jacktwilley,
1264808597683179551,,,,,,,,,,,,,,,,,,9b8e431dc02b5a12aabccd0082df834d,,,,,,0,,0,Jack Twilley,870023853479444533,,0,jacktwilley,,1264794347337945158,,Started at the green valley floor.  Thank you for your help on a Sunday night!,2024-07-22T04:57:48.695Z,2024-07-22T04:57:50.858000+00:00,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:57:48.695000+00:00,false,0,jacktwilley,
1264808461707771925,,,,,,,,,,,,,,,,,,9b8e431dc02b5a12aabccd0082df834d,,,,,,0,,0,Jack Twilley,870023853479444533,,0,jacktwilley,,1264794347337945158,,"Re... yeah, that worked",2024-07-22T04:57:16.276Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:57:16.276000+00:00,false,0,jacktwilley,
1264808371752534087,,,,,,,,,,,,,,,,,,7e8c75861a717a11a9fc6ce29d57f23f,,,,,,0,,0,Tokisan Games,455610038350774273,,0,tokisangames,,1264794347337945158,,reload the assets resource,2024-07-22T04:56:54.829Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:56:54.829000+00:00,false,0,tokisangames,
1264808325309005906,,,,,,,,,,,,,,,,,,9b8e431dc02b5a12aabccd0082df834d,,,,,,0,,0,Jack Twilley,870023853479444533,,0,jacktwilley,,1264794347337945158,,Just grey and white squares,2024-07-22T04:56:43.756Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:56:43.756000+00:00,false,0,jacktwilley,
1264808294455967825,,,,,,,,,,,,,,,,,,7e8c75861a717a11a9fc6ce29d57f23f,,,,,,0,,0,Tokisan Games,455610038350774273,,0,tokisangames,,1264794347337945158,,and textures?,2024-07-22T04:56:36.400Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:56:36.400000+00:00,false,0,tokisangames,
1264808208921399299,,,,,,,,,,,,,,,,,,9b8e431dc02b5a12aabccd0082df834d,,,,,,0,,0,Jack Twilley,870023853479444533,,0,jacktwilley,,1264794347337945158,,I had to manually select the terrain resource but once I did I got big curvy hills,2024-07-22T04:56:16.007Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:56:16.007000+00:00,false,0,jacktwilley,
1264808074565128193,,,,,,,,,,,,,,,,,,7e8c75861a717a11a9fc6ce29d57f23f,,,,,,0,,0,Tokisan Games,455610038350774273,,0,tokisangames,,1264794347337945158,,That's normal. Godot should have been closed before changing libraries,2024-07-22T04:55:43.974Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:55:43.974000+00:00,false,0,tokisangames,
1264807916184145921,,,,,,,,,,,,,,,,,,9b8e431dc02b5a12aabccd0082df834d,,,,,,0,,0,Jack Twilley,870023853479444533,,0,jacktwilley,,1264794347337945158,,"Okay, the scons runs in the top level directory rebuilt godot-cpp (that's like three times heh) but deposited something into project/addons/terrain_3d/bin and Godot told me it needed to save and restart.",2024-07-22T04:55:06.213Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:55:06.213000+00:00,false,0,jacktwilley,
1264806749710450729,,,,,,,,,,,,,,,,,,7e8c75861a717a11a9fc6ce29d57f23f,,,,,,0,,0,Tokisan Games,455610038350774273,,0,tokisangames,,1264794347337945158,,https://terrain3d.readthedocs.io/en/stable/docs/building_from_source.html#set-up-the-extension-in-godot,2024-07-22T04:50:28.104Z,,,0,,,false,,,9b8e431dc02b5a12aabccd0082df834d,,,,,,0,,0,Jack Twilley,870023853479444533,,0,jacktwilley,,1264794347337945158,691957978680786944,1264805597245603965,0,,false,13,,,,,,,,,,,,,,,,,,,,,,,,,,,9b8e431dc02b5a12aabccd0082df834d,,,,,,0,,0,Jack Twilley,870023853479444533,,0,jacktwilley,1264794347337945158,,"Closing the project and reopening it shows a number of errors, including not opening the GDExtension library?!",,,0,1264805597245603965,false,,,,,,,,,,,,,,,,,,,,,,false,9,2024-07-22T04:45:53.335000+00:00,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T04:50:28.104000+00:00,false,19,tokisangames,
