id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.placeholder,attachments.0.placeholder_version,attachments.0.proxy_url,attachments.0.size,attachments.0.url,attachments.0.width,author.accent_color,author.avatar,author.avatar_decoration_data,author.avatar_decoration_data.asset,author.avatar_decoration_data.expires_at,author.avatar_decoration_data.sku_id,author.banner,author.banner_color,author.clan,author.collectibles,author.discriminator,author.display_name_styles,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,flags,interaction,mention_channels,mention_everyone,mentions,mentions.0.accent_color,mentions.0.avatar,mentions.0.avatar_decoration_data.asset,mentions.0.avatar_decoration_data.expires_at,mentions.0.avatar_decoration_data.sku_id,mentions.0.banner,mentions.0.banner_color,mentions.0.clan,mentions.0.collectibles,mentions.0.discriminator,mentions.0.display_name_styles,mentions.0.flags,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.public_flags,mentions.0.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,referenced_message,referenced_message.attachments,referenced_message.author.accent_color,referenced_message.author.avatar,referenced_message.author.avatar_decoration_data.asset,referenced_message.author.avatar_decoration_data.expires_at,referenced_message.author.avatar_decoration_data.sku_id,referenced_message.author.banner,referenced_message.author.banner_color,referenced_message.author.clan,referenced_message.author.collectibles,referenced_message.author.discriminator,referenced_message.author.display_name_styles,referenced_message.author.flags,referenced_message.author.global_name,referenced_message.author.id,referenced_message.author.primary_guild,referenced_message.author.public_flags,referenced_message.author.username,referenced_message.channel_id,referenced_message.components,referenced_message.content,referenced_message.edited_timestamp,referenced_message.embeds,referenced_message.flags,referenced_message.id,referenced_message.mention_everyone,referenced_message.mention_roles,referenced_message.mentions,referenced_message.pinned,referenced_message.timestamp,referenced_message.tts,referenced_message.type,resolved,role_subscription_data,sticker_items,stickers,thread,thread.bitrate,thread.flags,thread.guild_id,thread.id,thread.last_message_id,thread.member_count,thread.member_ids_preview.0,thread.member_ids_preview.1,thread.message_count,thread.name,thread.owner_id,thread.parent_id,thread.rate_limit_per_user,thread.rtc_region,thread.thread_metadata.archive_timestamp,thread.thread_metadata.archived,thread.thread_metadata.auto_archive_duration,thread.thread_metadata.create_timestamp,thread.thread_metadata.locked,thread.total_message_sent,thread.type,thread.user_limit,timestamp,tts,type,userName,webhook_id
1347722211875754066,,,,,,,,,,,,,,,,,88bdcac34bb2e9446a385e8043a122ba,,a_c12a5c953352c20bd6e63576e2cce3a0,,1440174638930853956,,,,,0,,0,Cinderos,337310008012439563,,0,.cinderos,,1347711591520538715,,"yes, I'll keep that in mind - thanks for the help",2025-03-08T00:06:54.779Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-08T00:06:54.779000+00:00,false,0,.cinderos,
1347721366098673767,,,,,,,,,,,,,,,,,25fd1285287561dee4d39d9ac6f16e8c,,,,,,,,,0,,0,Xtarsia,188054719481118720,,0,xtarsia,,1347711591520538715,,"in that case, you could pass the regionmap from 1 to the other, and use a custom shader that forces a hole if there should be a region. and skip needing vram for extra regions",2025-03-08T00:03:33.130Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-08T00:03:33.130000+00:00,false,0,xtarsia,
1347720889441189980,,,,,,,,,,,,,,,,,88bdcac34bb2e9446a385e8043a122ba,,a_c12a5c953352c20bd6e63576e2cce3a0,,1440174638930853956,,,,,0,,0,Cinderos,337310008012439563,,0,.cinderos,,1347711591520538715,,"in the matter of fact I'm using this addon in ""normal way"" as well, I have multiple terrains loaded at once - just wanted one of them being completely a bg",2025-03-08T00:01:39.486Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-08T00:01:39.486000+00:00,false,0,.cinderos,
1347720486372769906,,,,,,,,,,,,,,,,,88bdcac34bb2e9446a385e8043a122ba,,a_c12a5c953352c20bd6e63576e2cce3a0,,1440174638930853956,,,,,0,,0,Cinderos,337310008012439563,,0,.cinderos,,1347711591520538715,,"agree, but I want the good stuff as well - dual scaling, autoshader, lods etc",2025-03-08T00:00:03.387Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-08T00:00:03.387000+00:00,false,0,.cinderos,
1347720030451925054,,,,,,,,,,,,,,,,,25fd1285287561dee4d39d9ac6f16e8c,,,,,,,,,0,,0,Xtarsia,188054719481118720,,0,xtarsia,,1347711591520538715,,"you could just slap down some quads in a ring, and apply the noise shader stuff directly, and skip using T3D at all",2025-03-07T23:58:14.687Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-07T23:58:14.687000+00:00,false,0,xtarsia,
1347719849585147924,,,,,,,,,,,,,,,,,88bdcac34bb2e9446a385e8043a122ba,,a_c12a5c953352c20bd6e63576e2cce3a0,,1440174638930853956,,,,,0,,0,Cinderos,337310008012439563,,0,.cinderos,,1347711591520538715,,well I guess right now it doesnt matter as the newest addon is not compiling on my project xD,2025-03-07T23:57:31.565Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-07T23:57:31.565000+00:00,false,0,.cinderos,
1347719604302119059,,,,,,,,,,,,,,,,,88bdcac34bb2e9446a385e8043a122ba,,a_c12a5c953352c20bd6e63576e2cce3a0,,1440174638930853956,,,,,0,,0,Cinderos,337310008012439563,,0,.cinderos,,1347711591520538715,,"yes, that is my main concern - I dont want to make just garbage data with that ""workaround"" - and this BG mode sounds like something that would be bery useful in my case",2025-03-07T23:56:33.085Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-07T23:56:33.085000+00:00,false,0,.cinderos,
1347719219030134816,,,,,,,,,,,,,,,,,25fd1285287561dee4d39d9ac6f16e8c,,,,,,,,,0,,0,Xtarsia,188054719481118720,,0,xtarsia,,1347711591520538715,,you wouldnt want to waste multiple MB of vram just to put whole empty regions either,2025-03-07T23:55:01.229Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-07T23:55:01.229000+00:00,false,0,xtarsia,
1347718891937337375,,,,,,,,,,,,,,,,,25fd1285287561dee4d39d9ac6f16e8c,,,,,,,,,0,,0,Xtarsia,188054719481118720,,0,xtarsia,,1347711591520538715,,"its valid, but it would be better rendering the clipmap without the inner LODs - which currently isnt implemented - its a very niche use case.",2025-03-07T23:53:43.244Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-07T23:53:43.244000+00:00,false,0,xtarsia,
1347718302981558296,,,,,,,,,,,,,,,,,88bdcac34bb2e9446a385e8043a122ba,,a_c12a5c953352c20bd6e63576e2cce3a0,,1440174638930853956,,,,,0,,0,Cinderos,337310008012439563,,0,.cinderos,,1347711591520538715,,hence my question - if using the hole feature for whole playable area is a valid idea - performance wise,2025-03-07T23:51:22.826Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,false,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-07T23:51:22.826000+00:00,false,0,.cinderos,
