id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.placeholder,attachments.0.placeholder_version,attachments.0.proxy_url,attachments.0.size,attachments.0.url,attachments.0.width,author.accent_color,author.avatar,author.avatar_decoration_data,author.banner,author.banner_color,author.clan,author.collectibles,author.discriminator,author.display_name_styles,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,flags,interaction,mention_channels,mention_everyone,mentions,mentions.0.accent_color,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.banner,mentions.0.banner_color,mentions.0.clan,mentions.0.collectibles,mentions.0.discriminator,mentions.0.display_name_styles,mentions.0.flags,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.public_flags,mentions.0.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,reactions.0.burst_colors,reactions.0.burst_count,reactions.0.burst_me,reactions.0.count,reactions.0.count_details.burst,reactions.0.count_details.normal,reactions.0.emoji.id,reactions.0.emoji.name,reactions.0.me,reactions.0.me_burst,referenced_message,referenced_message.attachments,referenced_message.attachments.0.content_scan_version,referenced_message.attachments.0.content_type,referenced_message.attachments.0.filename,referenced_message.attachments.0.height,referenced_message.attachments.0.id,referenced_message.attachments.0.placeholder,referenced_message.attachments.0.placeholder_version,referenced_message.attachments.0.proxy_url,referenced_message.attachments.0.size,referenced_message.attachments.0.url,referenced_message.attachments.0.width,referenced_message.author.accent_color,referenced_message.author.avatar,referenced_message.author.avatar_decoration_data,referenced_message.author.banner,referenced_message.author.banner_color,referenced_message.author.clan,referenced_message.author.collectibles,referenced_message.author.discriminator,referenced_message.author.display_name_styles,referenced_message.author.flags,referenced_message.author.global_name,referenced_message.author.id,referenced_message.author.primary_guild,referenced_message.author.public_flags,referenced_message.author.username,referenced_message.channel_id,referenced_message.components,referenced_message.content,referenced_message.edited_timestamp,referenced_message.embeds,referenced_message.flags,referenced_message.id,referenced_message.mention_everyone,referenced_message.mention_roles,referenced_message.mentions,referenced_message.pinned,referenced_message.position,referenced_message.timestamp,referenced_message.tts,referenced_message.type,resolved,role_subscription_data,sticker_items,stickers,thread,thread.bitrate,thread.flags,thread.guild_id,thread.id,thread.last_message_id,thread.member_count,thread.member_ids_preview.0,thread.member_ids_preview.1,thread.member_ids_preview.2,thread.member_ids_preview.3,thread.message_count,thread.name,thread.owner_id,thread.parent_id,thread.rate_limit_per_user,thread.rtc_region,thread.thread_metadata.archive_timestamp,thread.thread_metadata.archived,thread.thread_metadata.auto_archive_duration,thread.thread_metadata.create_timestamp,thread.thread_metadata.locked,thread.total_message_sent,thread.type,thread.user_limit,timestamp,tts,type,userName,webhook_id
1296554144437633045,,,,,,,,,,,,,,,,,7e8c75861a717a11a9fc6ce29d57f23f,,,,,,0,,0,Tokisan Games,455610038350774273,,0,tokisangames,,1296175658069790814,,"If you want to help you can bisect Godot's master between 4.3 and current to find the offending commit. Then you could file an issue, or search for one that already exists and let us know so we can track it.",2024-10-17T19:23:16.845Z,,,0,,,false,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,,1296175658069790814,691957978680786944,1296550434344931420,0,,false,12,,,0,false,1,0,1,,👍🏻,false,false,,,,,,,,,,,,,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,1296175658069790814,,"Alright a small update ive synced my versions as follows and everything works, so its something between 4.3 and 4.4 latest that broke or will break eventually 😄",2024-10-17T19:09:48.182000+00:00,,0,1296550434344931420,false,,,false,10,2024-10-17T19:08:32.290000+00:00,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-17T19:23:16.845000+00:00,false,19,tokisangames,
1296550623151394938,,,,,,,,,,,,,,,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,,1296175658069790814,,"godot 4.3 6699ae7
godot-cpp 1cce4d1
Terrain3d latest 29e1d0a",2024-10-17T19:09:17.305Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-17T19:09:17.305000+00:00,false,0,scifi99,
1296550434344931420,,,,,,,,,,,,,,,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,,1296175658069790814,,"Alright a small update ive synced my versions as follows and everything works, so its something between 4.3 and 4.4 latest that broke or will break eventually 😄",2024-10-17T19:08:32.290Z,2024-10-17T19:09:48.182000+00:00,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-17T19:08:32.290000+00:00,false,0,scifi99,
1296415921228877826,,,,,,,,,,,,,,,,,c4d6f225c824c9b9b702ab31eddb48e4,,,,,,0,,576,Daniel Snd,112052857728954368,,576,danielsnd,,1296175658069790814,,I’m having the same problem with non C# version on engine rebased to master. I’m assuming it is indeed a new issue with the engine,2024-10-17T10:14:01.864Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-17T10:14:01.864000+00:00,false,0,danielsnd,
1296182737774055546,,,,,,,,,,,,,,,,,7e8c75861a717a11a9fc6ce29d57f23f,,,,,,0,,0,Tokisan Games,455610038350774273,,0,tokisangames,,1296175658069790814,,You didn't mention your Godot-cpp repot. That needs to match well enough.,2024-10-16T18:47:26.596Z,,,0,,,false,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,,1296175658069790814,691957978680786944,1296176900091150437,0,,false,8,,,,,,,,,,,,,,,,,,,,,,,,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,1296175658069790814,,"My environment is Rider + C#
Using
Godot Engine v4.4.dev.mono.custom_build.92e51fca7 (2024-10-10 23:13:24 UTC) -
And latest of terrainplugin commit: 29e1d0a",2024-10-16T18:42:33.732000+00:00,,0,1296176900091150437,false,,,false,1,2024-10-16T18:24:14.784000+00:00,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16T18:47:26.596000+00:00,false,19,tokisangames,
1296182218800234601,,,,,,,,,,,,,,,,,7e8c75861a717a11a9fc6ce29d57f23f,,,,,,0,,0,Tokisan Games,455610038350774273,,0,tokisangames,,1296175658069790814,,"That's not your console, and not the first errors which likely tell you the problem.",2024-10-16T18:45:22.863Z,,,0,,,false,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,,1296175658069790814,691957978680786944,1296176312586866699,0,,false,7,,,,,,,,,,,,,,1,image/png,image.png,832,1296176312427220992,BQgGDICId3d/d3d6d3VYb8n1lQ==,1,https://media.discordapp.net/attachments/1296175658069790814/1296176312427220992/image.png?ex=69653bc2&is=6963ea42&hm=b6b4b24836de852aeb24a053dcc49f5fba0e1d8ac691d33fda9ed264d7d2172d&,601623,https://cdn.discordapp.com/attachments/1296175658069790814/1296176312427220992/image.png?ex=69653bc2&is=6963ea42&hm=b6b4b24836de852aeb24a053dcc49f5fba0e1d8ac691d33fda9ed264d7d2172d&,1625,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,1296175658069790814,,,,,0,1296176312586866699,false,,,false,,2024-10-16T18:21:54.712000+00:00,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16T18:45:22.863000+00:00,false,19,tokisangames,
1296182118258311259,,,,,,,,,,,,,,,,,7e8c75861a717a11a9fc6ce29d57f23f,,,,,,0,,0,Tokisan Games,455610038350774273,,0,tokisangames,,1296175658069790814,,"4.4 is definitely not supported until the rcs. The engine is likely probably broken. Use 4.3, or self support.",2024-10-16T18:44:58.892Z,2024-10-16T18:46:32.650000+00:00,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,6,,,0,false,1,0,1,,👍🏻,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16T18:44:58.892000+00:00,false,0,tokisangames,
1296181100552654889,,,,,,,,,,,,,,,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,,1296175658069790814,,"And just to reiterate it works after reloading the project, the issue is I always have to reload the editor twice 😄",2024-10-16T18:40:56.252Z,2024-10-16T18:41:13.854000+00:00,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16T18:40:56.252000+00:00,false,0,scifi99,
1296178584985014395,,,,,1,image/png,image.png,583,1296178584817369088,AQgCBIC5mZl/eXiNeIt2bj/W9A==,1,https://media.discordapp.net/attachments/1296175658069790814/1296178584817369088/image.png?ex=69653de0&is=6963ec60&hm=9d5204726279652766fc9afdded60d655a4e74a89b7fd49faeb6b225571da7da&,28185,https://cdn.discordapp.com/attachments/1296175658069790814/1296178584817369088/image.png?ex=69653de0&is=6963ec60&hm=9d5204726279652766fc9afdded60d655a4e74a89b7fd49faeb6b225571da7da&,1106,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,,1296175658069790814,,,2024-10-16T18:30:56.494Z,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16T18:30:56.494000+00:00,false,0,scifi99,
1296177357790642196,,,,,,,,,,,,,,,,,6b80dd53f809b509d3c0b4dad9c87d93,,,,,,0,,0,AndreB,178516443892154368,,0,scifi99,,1296175658069790814,,- What I'm doing is just using the compiled from source binaries as you would normally with any released version of godot and adding the terrain addon normally to the project,2024-10-16T18:26:03.908Z,2024-10-16T18:29:22.840000+00:00,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,false,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16T18:26:03.908000+00:00,false,0,scifi99,
